,latitude,longitude,price,minimum_nights,number_of_reviews,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
80,40.71154,-73.96112,145,3,61,238,0,1,0,0,0,0,1,0
81,40.82915,-73.95136,110,31,54,209,0,0,1,0,0,1,0,0
82,40.718509999999995,-73.98892,285,5,70,328,0,0,1,0,0,1,0,0
83,40.65401,-73.96323000000001,130,6,16,38,0,1,0,0,0,1,0,0
84,40.7114,-73.98794000000001,94,30,94,188,0,0,1,0,0,0,1,0
85,40.69723,-73.99268000000001,800,1,25,7,0,1,0,0,0,1,0,0
86,40.71833,-73.95748,105,3,61,272,0,1,0,0,0,1,0,0
87,40.72334,-73.9844,60,3,194,26,0,0,1,0,0,0,1,0
88,40.72912,-73.98057,50,1,2,0,0,0,1,0,0,0,1,0
89,40.71156,-73.96218,85,3,174,288,0,1,0,0,0,0,1,0
90,40.70032,-73.9383,65,4,24,317,0,1,0,0,0,0,1,0
91,40.68233,-73.97261,131,4,166,207,0,1,0,0,0,1,0,0
92,40.68634,-73.96600000000001,98,7,16,185,0,1,0,0,0,0,1,0
93,40.68035,-73.97162,250,7,21,158,0,1,0,0,0,1,0,0
94,40.70984,-73.95775,100,5,168,0,0,1,0,0,0,1,0,0
95,40.70093,-73.92609,105,3,118,9,0,1,0,0,0,1,0,0
96,40.79764,-73.96177,140,3,81,198,0,0,1,0,0,1,0,0
97,40.82803,-73.94731,89,1,1,365,0,0,1,0,0,0,1,0
98,40.74008,-74.00271,98,30,30,364,0,0,1,0,0,0,1,0
99,40.684129999999996,-73.92357,125,7,139,311,0,1,0,0,0,1,0,0
100,40.822790000000005,-73.95139,60,3,11,219,0,0,1,0,0,0,1,0
101,40.67967,-74.00154,175,2,233,342,0,1,0,0,0,1,0,0
102,40.83927,-73.94281,65,2,68,312,0,0,1,0,0,0,1,0
103,40.730959999999996,-74.00319,500,4,46,243,0,0,1,0,0,1,0,0
104,40.71332,-73.94176999999999,101,3,335,152,0,1,0,0,0,0,1,0
105,40.66941,-73.98109000000001,220,30,88,9,0,1,0,0,0,1,0,0
106,40.68373,-73.92376999999999,125,90,162,137,0,1,0,0,0,1,0,0
107,40.71459,-73.94844,80,30,29,222,0,1,0,0,0,1,0,0
